Name,Country/See,Role_Office,Date_of_Birth,Age,Background
Stephen Brislin,South Africa,Archbishop of Johannesburg,24 September 1956,68,"Cardinal Stephen Brislin, born on September 24, 1956, in Welkom, South Africa, has served as a priest since 1983, later becoming Bishop of Kroonstad in 2006, Archbishop of Cape Town in 2009, and Archbishop of Johannesburg in 2024. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_brislin_s.html?utm_source=openai)) Elevated to cardinal in 2023, he has been a vocal advocate for inclusivity within the Church, emphasizing that it ""should be home for gay people."" ([newwaysministry.org](https://www.newwaysministry.org/2017/12/09/south-african-archbishop-says-church-home-gay-people/?utm_source=openai)) He also prioritizes healing the wounds of apartheid, fostering interfaith collaboration to address societal challenges. ([romereports.com](https://www.romereports.com/en/2023/10/03/south-african-cardinal-prioritizes-healing-wounds-of-apartheid/?utm_source=openai)) "
Ángel Sixto Rossi SJ,Argentina,Archbishop of Córdoba,11 August 1958,66,"Cardinal Ángel Sixto Rossi, SJ, born on August 11, 1958, in Córdoba, Argentina, is a Jesuit priest and Archbishop of Córdoba since 2021. Ordained in 1986, he founded the Manos Abiertas Foundation in 1992, aiding the poor across ten Argentine cities. A close associate of Pope Francis, Rossi emphasizes humility and service, viewing the cardinalate as a role of service rather than power. He opposes abortion, considering it a broader societal issue, and actively campaigns against drug trafficking and violence, particularly concerning youth vulnerability. Rossi advocates for listening, dialogue, and discernment within the Church, aligning with the principles of the Synod on Synodality. ([collegeofcardinalsreport.com](https://collegeofcardinalsreport.com/cardinals/angel-sixto-rossi/?utm_source=openai)) "
Luis José Rueda Aparicio,Colombia,Archbishop of Bogotá,3 March 1962,63,"Cardinal Luis José Rueda Aparicio is a Colombian prelate of the Catholic Church, born in 1962 in San Gil, Santander. He currently serves as the Archbishop of Bogotá and was elevated to the rank of cardinal by Pope Francis in 2023. Known for his strong advocacy for peace and social justice, Cardinal Rueda Aparicio has actively promoted dialogue, reconciliation, and the protection of human rights in Colombia, especially in the context of the country’s armed conflict and socio-political challenges. He emphasizes the importance of caring for the poor and marginalized, and supports the teachings of Pope Francis regarding environmental stewardship and the integral development of society."
Grzegorz Ryś,Poland,Archbishop of Łódź,9 February 1964,61,"Cardinal Grzegorz Ryś, born on February 9, 1964, in Kraków, Poland, has served as the Archbishop of Łódź since 2017 and was elevated to cardinal by Pope Francis in 2023. An accomplished historian and theologian, he earned his doctorate in 1994 with a focus on medieval Polish piety and later specialized in the study of Jan Hus. Ryś is a proponent of synodality, emphasizing the Church's communal experience of faith and advocating for liturgical reforms that encourage active participation from all members, moving away from a solely priest-centered approach. He underscores the importance of pastoral care for LGBTQ individuals, distinguishing between doctrinal teachings and compassionate treatment. Additionally, Ryś has been critical of unfair criticisms directed at Pope Francis, urging a more comprehensive understanding of the pontiff's messages. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Grzegorz_Ry%C5%9B?utm_source=openai), [english.katholisch.de](https://english.katholisch.de/artikel/57877-cardinal-rys-synodality-belongs-to-the-church-like-hierarchy?utm_source=openai), [english.katholisch.de](https://english.katholisch.de/artikel/47618-polish-cardinal-criticism-of-pope-francis-is-unfair?utm_source=openai)) "
Stephen Ameyu Martin Mulla,South Sudan,Archbishop of Juba,10 January 1964,61,"Cardinal Stephen Ameyu Martin Mulla is a South Sudanese Catholic prelate born in 1964, who has served as the Archbishop of Juba since 2019 and was made a cardinal by Pope Francis in September 2023. Known for his commitment to peace, reconciliation, and nation-building in a country long afflicted by civil conflict, Ameyu emphasizes dialogue and inclusivity both within the Church and in broader society. He advocates for the role of the Church in fostering unity and supporting displaced persons, and his leadership is characterized by a focus on healing ethnic divisions and advancing social justice in South Sudan."
José Cobo Cano,Spain,Archbishop of Madrid,20 September 1965,59,"Cardinal José Cobo Cano, born in 1965 in Sabiote, Spain, is a Spanish prelate who became the Archbishop of Madrid in 2023, succeeding Cardinal Carlos Osoro. Originally a labor lawyer before his ordination in 1994, Cobo has been known for his social activism, especially regarding migrants, human rights, and outreach to marginalized communities. Considered part of the progressive wing of the Spanish Church, he is a strong supporter of Pope Francis’ vision, emphasizing social justice, synodality, and dialogue with contemporary society. His relatively young age and non-traditional rise—he became a cardinal without having led a diocese—signal Pope Francis’s aim of promoting pastors with a “smell of the sheep” and a commitment to renewal within the Church."
Protase Rugambwa,Tanzania,Archbishop of Tabora,31 May 1960,64,"Cardinal Protase Rugambwa, born on May 31, 1960, in Bunena, Tanzania, has had a distinguished career within the Catholic Church, culminating in his appointment as Metropolitan Archbishop of Tabora in November 2023. Ordained a priest in 1990, he served in various pastoral and academic roles before becoming Bishop of Kigoma in 2008. His tenure in the Roman Curia included positions as Adjunct Secretary and later Secretary of the Congregation for the Evangelization of Peoples. Elevated to the College of Cardinals by Pope Francis in September 2023, Cardinal Rugambwa emphasizes the importance of unity, love, and solidarity among Tanzanians and advocates for a partnership of equals between the churches in Africa and Europe to effectively spread the faith. ([vaticannews.va](https://www.vaticannews.va/en/africa/news/2023-10/cardinal-protase-rugambwa-invites-tanzanians-to-build-a-culture.html?utm_source=openai), [english.katholisch.de](https://english.katholisch.de/artikel/58960-cardinal-it-is-not-enough-if-churches-in-africa-are-just-full?utm_source=openai)) "
Sebastian Francis,Malaysia,Bishop of Penang,11 November 1951,73,"Cardinal Dato' Seri Sebastian Francis, born on November 11, 1951, in Johor Bahru, Malaysia, has been the Bishop of Penang since 2011 and was elevated to cardinal by Pope Francis on September 30, 2023. He completed his theological studies at the Major Seminary of Penang and the Pontifical University of Saint Thomas Aquinas in Rome, earning a licentiate in dogmatic theology. Throughout his ministry, Cardinal Francis has emphasized unity within the Church, cautioning against divisive labels such as ""traditional"" or ""liberal,"" and advocating for open, inclusive dialogue guided by the Holy Spirit. ([cruxnow.com](https://cruxnow.com/interviews/2023/08/new-malaysia-cardinal-cautions-against-fomenting-division-at-synod?utm_source=openai)) He has also served as President of the Catholic Bishops' Conference of Malaysia, Singapore, and Brunei from 2017 to 2023, and as Chairman of the Federation of Asian Bishops' Conferences' Office of Social Communication since 2023. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_francis_s.html?utm_source=openai)) "
Stephen Chow Sau-yan SJ,China ( Hong Kong ) [ i ],Bishop of Hong Kong,7 August 1959,65,"Cardinal Stephen Chow Sau-yan, SJ, is a Hong Kong-born Jesuit priest, educator, and psychologist who was appointed Bishop of Hong Kong in 2021 and made a cardinal by Pope Francis in 2023. A graduate of the University of Minnesota and Harvard University, Chow has served as provincial of the Chinese Province of the Society of Jesus and head of Wah Yan College, Hong Kong. Known for his moderate and pragmatic views, he emphasizes dialogue, reconciliation, and bridge-building between China and the Vatican, advocating for respect, religious freedom, and deeper understanding amid political tensions. Chow is recognized for promoting youth engagement, spiritual formation, and social justice, urging Catholics to contribute positively to society while remaining faithful to their beliefs."
François-Xavier Bustillo OFMConv,France [ j ],Bishop of Ajaccio,23 November 1968,56,"Cardinal François-Xavier Bustillo, OFMConv, is a Spanish-born Franciscan Conventual friar and the current Bishop of Ajaccio, Corsica, appointed by Pope Francis and elevated to cardinal in 2023. Known for his pastoral focus on welcoming, accompaniment, and spiritual renewal, Bustillo emphasizes a Church open to dialogue, attentive to the marginalized, and rooted in Franciscan values of humility and fraternity. He advocates for clergy living with authenticity and joy, addressing the modern world by being present and listening to people’s needs, and stresses the importance of community, mercy, and active witness in faith."
Américo Aguiar,Portugal,Bishop of Setúbal,12 December 1973,51,"Cardinal Américo Manuel Alves Aguiar, born on December 12, 1973, in Leça do Balio, Portugal, has rapidly ascended within the Catholic Church, serving as auxiliary bishop of Lisbon from 2019 to 2023 and currently as bishop of Setúbal since September 2023. He played a pivotal role as president of the World Youth Day 2023 Foundation, overseeing the event that attracted over 1.5 million attendees. Known for his communication skills and crisis management, Aguiar has emphasized the importance of dialogue and mutual respect among diverse groups. His statement that World Youth Day aims to foster unity without the intent to convert participants to Catholicism sparked debate, highlighting his focus on inclusivity. Additionally, his participation in a Portuguese Communist Party rally underscored his commitment to engaging with various societal sectors to address common concerns. ([catholicmasses.org](https://catholicmasses.org/portuguese-cardinal-defends-his-decision-to-take-part-in-communist-party-rally-national-catholic-register/?utm_source=openai)) "
Carlos Castillo Mattasoglio,Peru,Archbishop of Lima,28 February 1950,75,"Cardinal Carlos Castillo Mattasoglio, born in Lima in 1950, is a Peruvian theologian and prelate known for his progressive views and commitment to social justice. After earning degrees in philosophy and theology from the Pontifical Gregorian University in Rome, he was ordained a priest in 1984. He has served as a theology professor at the Pontifical Catholic University of Peru since 1987 and held various pastoral roles, including parish vicar and national youth pastoral advisor. Appointed Archbishop of Lima in 2019 and elevated to cardinal in 2024, Castillo has been an outspoken critic of political corruption and institutional paralysis in Peru, advocating for reforms that align with the needs of the populace. He has also proposed innovative ecclesiastical changes, such as allowing laypeople to administer parishes, reflecting his vision of a more inclusive and egalitarian Church. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Carlos_Castillo_Mattasoglio?utm_source=openai), [catholicnewsagency.com](https://www.catholicnewsagency.com/news/248671/lima-archbishop-proposes-replacing-priests-with-laity-as-pastors?utm_source=openai)) "
Vicente Bokalic Iglic CM,Argentina,Archbishop of Santiago del Estero,11 June 1952,72,"Cardinal Vicente Bokalic Iglic, born on June 11, 1952, in Lanús, Buenos Aires Province, Argentina, is the son of Slovenian immigrants who arrived in 1949. He joined the Congregation of the Mission (Vincentians) in 1970, taking his final vows in 1976, and was ordained a priest in 1978. His pastoral work includes roles as a missionary, parish priest, and formator within his order. Appointed auxiliary bishop of Buenos Aires in 2010, he became bishop of Santiago del Estero in 2013. In July 2024, Pope Francis elevated Santiago del Estero to an archdiocese, naming Bokalic its first archbishop and Primate of Argentina. He was created cardinal on December 7, 2024, with the title of Santa Maria Maddalena in Campo Marzio. Known for his commitment to evangelizing the poor, as reflected in his episcopal motto ""Me envió a evangelizar a los pobres"" (""He sent me to evangelize the poor""), Bokalic emphasizes humility, service, and a deep connection with marginalized communities. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Vicente_Bokalic_Iglic?utm_source=openai)) "
Luis Cabrera Herrera OFM,Ecuador,Archbishop of Guayaquil,11 October 1955,69,"Cardinal Luis Gerardo Cabrera Herrera, O.F.M., born on October 11, 1955, in Azogues, Ecuador, is a Franciscan friar and the Archbishop of Guayaquil. He studied philosophy and theology at the Pontifical Catholic University of Ecuador and earned a doctorate in philosophy from the Pontifical University Antonianum in Rome. Ordained a priest in 1983, Cabrera has held various leadership roles within the Franciscan Order and the Ecuadorian Episcopal Conference. Appointed Archbishop of Cuenca in 2009 and later of Guayaquil in 2015, he was elevated to cardinal by Pope Francis on December 7, 2024. Known for his commitment to dialogue and peace, Cabrera has been a vocal critic of abortion and gender ideology, emphasizing the importance of traditional family values while advocating for respect and inclusion of all individuals. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_cabrera_g.html?utm_source=openai), [collegeofcardinalsreport.com](https://collegeofcardinalsreport.com/cardinals/cardinal-luis-gerardo-cabrera-herrera-o-f-m/?utm_source=openai)) "
Fernando Chomalí Garib,Chile,Archbishop of Santiago de Chile,10 March 1957,68,"Cardinal Fernando Chomalí Garib, born in 1957 in Santiago, Chile, is a prominent Roman Catholic leader, currently serving as the Archbishop of Santiago as of 2023. Of Palestinian and Italian descent, Chomalí is known for his background in bioethics, having earned a doctorate in the field from the Pontifical Gregorian University. Throughout his clerical career, he has been noted for his emphasis on social justice, ethical issues, and the Church's role in public life. Chomalí is regarded as a moderate voice in the Chilean Church, advocating for dialogue, transparency, and pastoral care, particularly in addressing issues of clerical abuse and societal inequality."
Tarcisio Isao Kikuchi SVD,Japan,Archbishop of Tokyo,1 November 1958,66,"Cardinal Tarcisio Isao Kikuchi, SVD, is a Japanese Roman Catholic prelate and member of the Society of the Divine Word (SVD). Born in 1958, he has served as the Archbishop of Tokyo since 2017 and was elevated to cardinal by Pope Francis in 2023. With a background in missionary work, particularly in Ghana, Kikuchi is known for his advocacy on issues such as peace, poverty alleviation, and the protection of migrants and refugees. As a prominent voice in the Asian Catholic Church, he emphasizes dialogue, social justice, and the Church's mission to serve the marginalized, reflecting his commitment to both humanitarianism and intercultural understanding."
Pablo Virgilio David,Philippines,Bishop of Kalookan,2 March 1959,66,"Cardinal Pablo Virgilio David is a prominent Filipino Catholic prelate, currently serving as the Bishop of Kalookan and president of the Catholic Bishops' Conference of the Philippines (CBCP). Known for his strong social justice advocacy, he has been an outspoken critic of human rights abuses, particularly those linked to the Philippine government's controversial war on drugs under President Rodrigo Duterte. David emphasizes pastoral care, the defense of the marginalized, and a compassionate, inclusive approach to Church leadership. He is recognized for his intellectual background as a Bible scholar and for his commitment to dialogue and reconciliation in the face of political and social divisions."
Ladislav Nemet SVD,Serbia [ k ],Archbishop of Belgrade,7 September 1956,68,"Cardinal Ladislav Német SVD is a Serbian Roman Catholic prelate of Hungarian descent, born in 1956. A member of the Society of the Divine Word (SVD), he has served as bishop of Zrenjanin and was appointed Archbishop of Belgrade in 2022. Német is known for his commitment to ecumenism, interfaith dialogue, and minority rights, reflecting his expertise in Central European multiculturalism and Catholic social teaching. He supports a Church engaged with social issues and advocates for mutual respect and cooperation among Serbia’s diverse religious and ethnic communities. Pope Francis elevated him to cardinal in 2023, underlining his reputation as a bridge-builder in the Balkan region."
Jaime Spengler OFM,Brazil,Archbishop of Porto Alegre,6 September 1960,64,"Cardinal Jaime Spengler, OFM, is a Brazilian prelate of the Catholic Church and a member of the Order of Friars Minor (Franciscans). Born in 1960 in Gaspar, Santa Catarina, Brazil, he was ordained a priest in 1990 and later became Archbishop of Porto Alegre in 2013. Elevated to cardinal by Pope Francis in 2023, Spengler is known for his commitment to social justice, dialogue, and the defense of the poor, reflecting Franciscan values. Within the Brazilian Church, he is seen as a moderate voice advocating for unity, peace, and a Church engaged with contemporary societal issues, particularly the challenges facing Brazil and Latin America."
Ignace Bessi Dogbo,Ivory Coast,Archbishop of Abidjan,17 August 1961,63,"Cardinal Ignace Bessi Dogbo, born on August 17, 1961, in Niangon-Adjamé, Ivory Coast, has held significant positions within the Catholic Church, including Bishop of Katiola (2004–2021), Archbishop of Korhogo (2021–2024), and Archbishop of Abidjan since May 2024. He was created a cardinal by Pope Francis on December 7, 2024. An advocate for clergy accountability, in 2018, he criticized priests who, after serving in Fidei donum missions abroad, refused to return to their home dioceses. ([fr.wikipedia.org](https://fr.wikipedia.org/wiki/Ignace_Bessi_Dogbo?utm_source=openai)) "
Jean-Paul Vesco OP,Algeria [ l ],Archbishop of Algiers,10 March 1962,63,"Cardinal Jean-Paul Vesco, OP, born in Lyon, France, in 1962, is a Dominican friar and Archbishop of Algiers, known for his progressive views within the Catholic Church. After practicing law for seven years, he joined the Dominican Order in 1995 and was ordained a priest in 2001. His ministry in Algeria began in 2002, leading to his appointment as Bishop of Oran in 2012 and Archbishop of Algiers in 2021. Elevated to cardinal in December 2024, Vesco has advocated for re-evaluating the Church's stance on divorced and remarried Catholics, calling the previous discipline an ""enormous injustice."" ([freerepublic.com](https://freerepublic.com/focus/f-religion/4284319/posts?utm_source=openai)) He supports interfaith dialogue, emphasizing human fraternity over conversion efforts, and has expressed openness to expanding women's roles within the Church, including the possibility of a female diaconate. ([lifesitenews.com](https://www.lifesitenews.com/news/archbishop-of-algiers-says-catholics-must-abandon-the-idea-that-we-have-to-evangelize/?utm_source=openai)) "
Dominique Mathieu OFMConv,Iran [ m ],Archbishop of Tehran–Isfahan,13 June 1963,61,"Cardinal Dominique Joseph Mathieu, O.F.M. Conv., born on June 13, 1963, in Arlon, Belgium, is a Conventual Franciscan who has served as Archbishop of Tehran-Isfahan since 2021 and was elevated to the cardinalate by Pope Francis on December 7, 2024. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_mathieu_j.html?utm_source=openai)) His ministry has been marked by a commitment to interreligious dialogue, particularly with the Islamic world, and a call for global peace through the abandonment of supremacy ambitions. ([vaticannews.va](https://www.vaticannews.va/en/church/news/2024-10/cardinal-elect-matthieu-domination-ambitions-bar-path-to-peace.html?utm_source=openai)) He emphasizes fraternity, reconciliation, and unity, urging concrete actions to build peace and promote justice. ([franciscanvoice.org](https://franciscanvoice.org/cardinal-dominique-mathieu-ofm-conv/?utm_source=openai)) "
Roberto Repole,Italy,Archbishop of Turin and Bishop of Susa,29 January 1967,58,"Cardinal Roberto Repole, born in 1967 in Turin, Italy, is a theologian and academic who became Archbishop of Turin and Bishop of Susa in 2022 and was made a cardinal by Pope Francis in 2023. He is known for his deep scholarship in ecclesiology and his advocacy for synodality, emphasizing the importance of communal discernment, dialogue, and openness within the Catholic Church. Repole has contributed extensively to theological discussions in Italy, backing Pope Francis' reforms and calling for a more inclusive, listening Church that engages with modern challenges while remaining rooted in tradition."
Baldassare Reina,Italy,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,26 November 1970,54,"Cardinal Baldassare Reina, born on November 26, 1970, in San Giovanni Gemini, Italy, has served as Vicar General of the Diocese of Rome since October 2024. Ordained a priest in 1995, he held various roles in the Archdiocese of Agrigento, including rector of the major seminary. Appointed auxiliary bishop of Rome in 2022, he became vicegerent in 2023 and was elevated to cardinal by Pope Francis on December 7, 2024. Cardinal Reina advocates for a transparent and humble Church, emphasizing service, humility, and charity in his leadership. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_reina_b.html?utm_source=openai), [ilmessaggero.it](https://www.ilmessaggero.it/en/cardinal_baldassarre_reina_outlines_vision_for_a_transparent_and_humble_church_in_rome-8400378.html?utm_source=openai)) "
Frank Leo,Canada,Archbishop of Toronto,30 June 1971,53,"Cardinal Frank Leo, born in Montréal in 1971 to Italian immigrant parents, has had a distinguished career within the Catholic Church. Ordained in 1996, he served in various parish roles before entering the Holy See's diplomatic service, with postings in Australia and Hong Kong. Returning to Canada in 2012, he contributed to seminary education and held leadership positions, including Secretary General of the Canadian Conference of Catholic Bishops. Appointed Archbishop of Toronto in 2023 and elevated to Cardinal in 2024, Leo emphasizes the Church's outreach beginning ""from the human heart,"" advocating for a spiritual awakening to address contemporary challenges like secularism and political polarization. ([vaticannews.va](https://www.vaticannews.va/en/vatican-city/news/2024-12/cardinal-frank-leo-church-outreach-start-from-human-heart.html?utm_source=openai)) He also highlights the importance of pastoral care for families and youth, stressing the need for the Church to listen and guide amidst modern anxieties. ([vaticannews.va](https://www.vaticannews.va/en/vatican-city/news/2024-12/cardinal-frank-leo-church-outreach-start-from-human-heart.html?utm_source=openai)) "
Mykola Bychok CSsR,Australia [ n ],Eparch of Saints Peter and Paul of Melbourne ( Ukrainian Greek Catholic Church ),13 February 1980,45,"Born on February 13, 1980, in Ternopil, Ukraine, Cardinal Mykola Bychok joined the Redemptorist Order in 1997 and was ordained a priest in 2005. He served in Russia, Ukraine, and the United States before being appointed Eparchial Bishop of Saints Peter and Paul of Melbourne in 2020. Elevated to cardinal in December 2024, he emphasizes the Church's role as a mediator for just peace globally and advocates for combating secularization by helping people rediscover the love of God through the sacraments. ([cssr.news](https://www.cssr.news/2024/10/called-to-be-more-servant-than-eminence-an-interview-of-cardinal-elect-mykola-bychok-cssr-given-to-losservatore-romano/?utm_source=openai)) "
Domenico Battaglia,Italy,Archbishop of Naples,20 January 1963,62,"Cardinal Domenico Battaglia, born on January 20, 1963, in Satriano, Italy, was ordained a priest in 1988 and has dedicated his ministry to serving marginalized communities, including those struggling with addiction, victims of domestic violence, the elderly, and the unemployed. He served as Bishop of Cerreto Sannita-Telese-Sant'Agata de' Goti from 2016 to 2020 and was appointed Archbishop of Naples in 2020. Elevated to cardinal in December 2024, Battaglia views his role as a call to ""embrace the cross of the weakest,"" emphasizing service over honor and advocating for a Church that actively engages with society's peripheries. ([catholicnewsagency.com](https://www.catholicnewsagency.com/news/260867/new-cardinal-from-naples-sees-red-hat-as-call-to-embrace-the-cross-of-the-weakest?utm_source=openai)) He has been outspoken against organized crime, particularly the Camorra in Naples, urging members to ""be converted"" and highlighting the need for faith to be lived out in daily life, beyond the confines of the Church. ([catholicnewsagency.com](https://www.catholicnewsagency.com/news/260475/italys-mafia-fighting-street-priest-archbishop-domenico-battaglia-to-become-a-cardinal?utm_source=openai)) "
Dominique Mamberti,France,Prefect of the Supreme Tribunal of the Apostolic Signatura,7 March 1952,73,"Cardinal Dominique Mamberti is a French prelate of the Catholic Church, born in Morocco in 1952, known for his distinguished career as a Vatican diplomat and canon lawyer. He served as the Vatican’s Secretary for Relations with States (effectively its Foreign Minister) from 2006 to 2014, where he represented the Holy See at international forums and advocated for religious freedom, peace, and dialogue, particularly in the Middle East and North Africa. Appointed Prefect of the Apostolic Signatura in 2014, Mamberti is considered a moderate conservative, emphasizing the Church’s traditional teachings while advocating respectful engagement with secular institutions and other faiths."
Mario Zenari,Italy,Apostolic Nuncio to Syria,5 January 1946,79,"Cardinal Mario Zenari is an Italian prelate of the Catholic Church, born in 1946, who has served as the Apostolic Nuncio to Syria since 2008, a role in which he has become a key Vatican diplomat amid the country's ongoing civil war. Elevated to cardinal in 2016 by Pope Francis, Zenari is recognized for his commitment to humanitarian work and dialogue in conflict zones, consistently advocating for peace, support for victims of violence, and the protection of Syria's Christian minority. He has publicly stressed the need for international solidarity with the Syrian people and has often emphasized the Vatican’s impartiality and dedication to humanitarian aid, rather than political interests."
Kevin Farrell,United States [ o ],"Prefect of the Dicastery for the Laity, Family and Life and Camerlengo of the Holy Roman Church",2 September 1947,77,"Cardinal Kevin Farrell, born in Dublin, Ireland, in 1947, is an influential prelate of the Roman Catholic Church who has served as the Prefect of the Dicastery for the Laity, Family and Life since 2016. Formerly the Bishop of Dallas, Farrell is known for his advocacy of greater lay involvement in the Church, fostering synodality, and addressing contemporary issues affecting families and youth. He is viewed as a pragmatic and pastoral leader, generally supportive of Pope Francis’ reforms and emphasis on mercy, dialogue, and inclusion, especially regarding marginalized groups within the Church. Farrell has also faced scrutiny due to his connections to former Cardinal Theodore McCarrick, but has denied prior knowledge of McCarrick’s abuses."
Konrad Krajewski,Poland,Almoner of His Holiness,25 November 1963,61,"Cardinal Konrad Krajewski, a Polish prelate born in 1963, serves as the Papal Almoner, responsible for the Pope’s charitable activities. Known for his deep personal commitment to serving the poor and marginalized, Krajewski is often seen engaging directly in acts of charity, such as distributing food and setting up shelters for the homeless. A close confidant of Pope Francis, he embodies the Pope’s vision of a “poor Church for the poor” and advocates practical, hands-on solidarity over bureaucracy. His views emphasize compassion, social justice, and the active presence of the Church among society’s most vulnerable."
José Tolentino de Mendonça,Portugal,Prefect of the Dicastery for Culture and Education,15 December 1965,59,"Cardinal José Tolentino de Mendonça is a Portuguese theologian, poet, and biblical scholar born in 1965. He was appointed a cardinal by Pope Francis in 2019 and currently serves as the Prefect of the Dicastery for Culture and Education in the Vatican. Known for his embrace of dialogue between faith and contemporary culture, de Mendonça emphasizes the importance of listening, inclusion, and the integration of literature and arts into theological reflection. He frequently advocates for a Church that is open, compassionate, and attentive to the margins, aligning closely with the reformist and synodal vision of Pope Francis."
Michael Czerny SJ,Canada [ p ],Prefect of the Dicastery for Promoting Integral Human Development,18 July 1946,78,"Cardinal Michael Czerny SJ is a Canadian Jesuit priest and theologian, born in 1946 in Czechoslovakia before emigrating to Canada. He is known for his work in social justice, migration, refugees, and ecological issues. Appointed a cardinal by Pope Francis in 2019, Czerny serves as Prefect of the Dicastery for Promoting Integral Human Development. He closely aligns with Pope Francis’s vision, advocating for the rights of migrants, environmental stewardship, economic justice, and a Church that is welcoming and inclusive. His views emphasize compassionate action, care for the marginalized, and systemic change rooted in Catholic social teaching."
Mario Grech,Malta,Secretary-General of the Synod of Bishops,20 February 1957,68,"Cardinal Mario Grech, born in Qala, Malta, in 1957, has been a prominent figure in the Catholic Church, serving as the Secretary General of the Synod of Bishops since 2020. Ordained in 1984, he earned a doctorate in canon law from the Pontifical University of Saint Thomas Aquinas and served as Bishop of Gozo from 2005 to 2019. Initially perceived as conservative, Grech has become a proponent of Pope Francis' reforms, advocating for a more inclusive Church, particularly towards LGBTQ+ individuals and those in complex family situations. He emphasizes synodality as essential for evangelization, asserting that the Church must engage all members in decision-making processes to remain relevant. Grech also supports the reintroduction of women deacons, reflecting his commitment to expanding roles for women within the Church. ([press.vatican.va](https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_grech_m.html?utm_source=openai), [en.wikipedia.org](https://en.wikipedia.org/wiki/Mario_Grech?utm_source=openai), [acireland.ie](https://acireland.ie/synodality-a-must-for-evangelisation-cardinal-mario-grech/?utm_source=openai), [simonmercieca.com](https://simonmercieca.com/2024/07/10/cardinal-mario-grech-is-working-towards-the-re-introduction-of-women-deacons-in-the-catholic-church/?utm_source=openai)) "
Marcello Semeraro,Italy,Prefect of the Dicastery for the Causes of Saints,22 December 1947,77,"Cardinal Marcello Semeraro, born on December 22, 1947, in Monteroni di Lecce, Italy, is a prominent figure in the Catholic Church, currently serving as the Prefect of the Congregation for the Causes of Saints since October 2020. Ordained a priest in 1971, he earned a Doctorate in Theology from the Pontifical Lateran University. His episcopal career includes roles as Bishop of Oria (1998–2004) and Bishop of Albano (2004–2020). As Secretary of Pope Francis's Council of Cardinals from 2013 to 2020, Semeraro emphasized the Church's missionary role, advocating for reforms that prioritize evangelization over doctrinal rigidity. He supports the legal recognition of same-sex civil unions, provided they are not equated with marriage, and underscores the importance of welcoming LGBT individuals as baptized Christians. Additionally, he views remarriage after divorce positively, interpreting it as a continued faith in the institution of marriage. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Marcello_Semeraro?utm_source=openai), [cruxnow.com](https://cruxnow.com/vatican/2019/06/curial-aide-says-reform-is-about-mission-not-doctrine?utm_source=openai), [catholicmasses.org](https://catholicmasses.org/pope-francis-appoints-new-members-to-dicastery-for-the-doctrine-of-the-faith/?utm_source=openai)) "
Mauro Gambetti OFMConv,Italy,"Vicar General for Vatican City , Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",27 October 1965,59,"Cardinal Mauro Gambetti, OFMConv, is an Italian prelate of the Catholic Church and a member of the Conventual Franciscans. Born in 1965, he served as the Custos (head) of the Sacred Convent of Assisi before being appointed Archpriest of St. Peter’s Basilica in 2021 and made a cardinal by Pope Francis the same year. Known for his pastoral and diplomatic skills, Gambetti emphasizes fraternity, ecological responsibility, and synodality within the Church, reflecting Pope Francis’s priorities. He is seen as a bridge-builder and a spiritual leader focused on dialogue, service to the poor, and fostering a culture of encounter and peace, in line with Franciscan and papal teachings."
Arthur Roche,United Kingdom,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments,6 March 1950,75,"Cardinal Arthur Roche is an English prelate of the Roman Catholic Church, currently serving as Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments, a role he assumed in 2021 after previously holding several positions within the Vatican and the Diocese of Leeds. Known for his deep commitment to liturgical matters, Roche is recognized as a proponent of the reforms of the Second Vatican Council, advocating for the use of vernacular languages in the liturgy while upholding the need for reverence and fidelity to liturgical norms. His tenure has been marked by efforts to implement Pope Francis' directives—most notably *Traditionis custodes*, which restricts the use of the traditional Latin Mass—emphasizing unity in worship and obedience to papal authority."
